groups	cs_A	cs_B	cs_D
OG0004928	TraesCS1A02G022400.1	TraesCS1B02G026200.1	TraesCS1D02G022300.1
OG0004930	TraesCS1A02G023300.1	TraesCS1B02G029000.1	TraesCS1D02G022800.1
OG0004931	TraesCS1A02G023400.2	TraesCS1B02G029100.1	TraesCS1D02G022900.1
OG0004932	TraesCS1A02G023800.1	TraesCS1B02G030000.1	TraesCS1D02G023400.1
OG0004933	TraesCS1A02G024100.1	TraesCS1B02G030400.1	TraesCS1D02G024200.1
OG0004934	TraesCS1A02G024200.2	TraesCS1B02G030500.1	TraesCS1D02G024300.2
OG0004935	TraesCS1A02G024600.1	TraesCS1B02G031000.1	TraesCS1D02G024700.1
OG0004936	TraesCS1A02G024700.1	TraesCS1B02G031100.1	TraesCS1D02G024800.1
OG0004937	TraesCS1A02G025100.1	TraesCS1B02G031500.1	TraesCS1D02G025100.1
OG0004938	TraesCS1A02G025200.1	TraesCS1B02G031600.1	TraesCS1D02G025400.1
OG0004939	TraesCS1A02G025700.1	TraesCS1B02G032600.1	TraesCS1D02G026100.1
OG0004940	TraesCS1A02G025900.2	TraesCS1B02G032500.2	TraesCS1D02G026200.2
OG0004941	TraesCS1A02G026000.1	TraesCS1B02G032400.1	TraesCS1D02G026300.1
OG0004942	TraesCS1A02G027200.1	TraesCS1B02G044000.1	TraesCS1D02G026400.1
OG0004943	TraesCS1A02G027600.1	TraesCS1B02G033500.1	TraesCS1D02G026800.1
OG0004945	TraesCS1A02G029200.1	TraesCS1B02G036400.1	TraesCS1D02G029400.1
OG0004946	TraesCS1A02G029400.1	TraesCS1B02G036600.1	TraesCS1D02G029600.1
OG0004947	TraesCS1A02G029800.1	TraesCS1B02G036900.1	TraesCS1D02G030300.1
OG0004948	TraesCS1A02G030100.1	TraesCS1B02G037100.1	TraesCS1D02G030600.1
OG0004949	TraesCS1A02G030500.1	TraesCS1B02G037600.1	TraesCS1D02G031400.1
OG0004950	TraesCS1A02G030600.1	TraesCS1B02G037700.1	TraesCS1D02G031500.1
OG0004951	TraesCS1A02G030700.1	TraesCS1B02G038100.1	TraesCS1D02G031700.1
OG0004952	TraesCS1A02G031000.1	TraesCS1B02G039000.1	TraesCS1D02G032400.1
OG0004953	TraesCS1A02G031100.1	TraesCS1B02G038900.1	TraesCS1D02G032500.1
OG0004954	TraesCS1A02G031200.1	TraesCS1B02G038800.1	TraesCS1D02G032600.1
OG0004955	TraesCS1A02G031300.1	TraesCS1B02G038700.1	TraesCS1D02G032700.1
OG0004956	TraesCS1A02G032000.1	TraesCS1B02G041100.1	TraesCS1D02G033700.1
OG0004957	TraesCS1A02G033000.1	TraesCS1B02G041300.1	TraesCS1D02G034200.1
OG0004958	TraesCS1A02G033100.1	TraesCS1B02G041200.1	TraesCS1D02G034100.1
OG0004959	TraesCS1A02G033200.1	TraesCS1B02G041400.1	TraesCS1D02G034600.1
OG0004960	TraesCS1A02G033300.1	TraesCS1B02G041900.1	TraesCS1D02G035000.1
OG0004961	TraesCS1A02G033500.1	TraesCS1B02G042300.1	TraesCS1D02G034700.1
OG0004962	TraesCS1A02G033800.1	TraesCS1B02G042000.1	TraesCS1D02G034900.1
OG0004963	TraesCS1A02G034300.2	TraesCS1B02G050200.3	TraesCS1D02G035300.1
OG0004965	TraesCS1A02G034500.1	TraesCS1B02G050500.1	TraesCS1D02G035900.1
OG0004966	TraesCS1A02G034600.1	TraesCS1B02G050600.1	TraesCS1D02G036000.1
OG0004967	TraesCS1A02G035000.1	TraesCS1B02G051100.1	TraesCS1D02G036300.1
OG0004968	TraesCS1A02G035100.1	TraesCS1B02G044800.1	TraesCS1D02G036500.1
OG0004969	TraesCS1A02G035200.1	TraesCS1B02G045000.3	TraesCS1D02G036700.2
OG0004972	TraesCS1A02G035800.1	TraesCS1B02G045700.1	TraesCS7D02G136800.1
OG0004973	TraesCS1A02G036000.1	TraesCS1B02G046400.1	TraesCS1D02G037600.1
OG0004974	TraesCS1A02G036100.1	TraesCS1B02G046300.1	TraesCS1D02G037700.1
OG0004975	TraesCS1A02G036200.1	TraesCS1B02G046200.1	TraesCS1D02G037900.1
OG0004976	TraesCS1A02G036300.1	TraesCS1B02G047000.1	TraesCS1D02G038000.1
OG0004977	TraesCS1A02G036600.1	TraesCS1B02G047300.1	TraesCS1D02G038200.1
OG0004978	TraesCS1A02G036700.1	TraesCS1B02G047400.1	TraesCS1D02G038300.1
OG0004980	TraesCS1A02G037200.1	TraesCS1B02G047600.1	TraesCS1D02G038900.1
OG0004981	TraesCS1A02G037400.2	TraesCS1B02G047900.1	TraesCS1D02G039000.1
OG0004982	TraesCS1A02G037500.1	TraesCS1B02G048700.1	TraesCS1D02G039100.1
OG0004983	TraesCS1A02G037900.1	TraesCS1B02G048800.1	TraesCS1D02G039600.1
OG0004984	TraesCS1A02G038400.1	TraesCS1B02G049300.4	TraesCS1D02G040100.3
OG0004985	TraesCS1A02G039100.4	TraesCS1B02G051600.2	TraesCS1D02G040700.2
OG0004986	TraesCS1A02G039900.1	TraesCS1B02G052900.1	TraesCS1D02G041900.1
OG0004987	TraesCS1A02G040200.1	TraesCS1B02G053000.1	TraesCS1D02G041700.1
OG0004988	TraesCS1A02G040400.1	TraesCS1B02G053400.1	TraesCS1D02G041400.1
OG0004989	TraesCS1A02G040500.1	TraesCS1B02G053500.1	TraesCS1D02G041300.1
OG0004990	TraesCS1A02G040600.1	TraesCS1B02G053600.1	TraesCS1D02G041200.1
OG0004991	TraesCS1A02G040900.1	TraesCS1B02G053700.1	TraesCS1D02G042300.1
OG0004992	TraesCS1A02G041200.1	TraesCS1B02G034200.1	TraesCS1D02G028000.1
OG0004993	TraesCS1A02G041300.1	TraesCS1B02G035100.1	TraesCS1D02G027900.1
OG0004994	TraesCS1A02G041400.1	TraesCS1B02G034000.1	TraesCS1D02G027400.1
OG0004995	TraesCS1A02G041600.1	TraesCS1B02G033800.1	TraesCS1D02G027300.1
OG0004996	TraesCS1A02G041700.1	TraesCS1B02G033700.1	TraesCS1D02G027200.1
OG0004997	TraesCS1A02G042400.1	TraesCS1B02G055000.1	TraesCS1D02G042800.1
OG0004998	TraesCS1A02G042500.1	TraesCS1B02G054900.1	TraesCS1D02G042900.1
OG0004999	TraesCS1A02G042700.1	TraesCS1B02G055200.1	TraesCS1D02G043300.1
OG0005000	TraesCS1A02G042800.1	TraesCS1B02G055600.1	TraesCS1D02G043200.1
OG0005001	TraesCS1A02G042900.1	TraesCS1B02G055800.1	TraesCS1D02G043400.1
OG0005002	TraesCS1A02G043000.1	TraesCS1B02G056100.1	TraesCS1D02G043500.1
OG0005003	TraesCS1A02G043100.1	TraesCS1B02G056000.1	TraesCS1D02G043600.1
OG0005004	TraesCS1A02G043200.1	TraesCS1B02G055900.1	TraesCS1D02G043700.1
OG0005005	TraesCS1A02G043300.1	TraesCS1B02G056300.1	TraesCS1D02G043900.1
OG0005006	TraesCS1A02G043500.1	TraesCS1B02G056600.1	TraesCS1D02G044100.1
OG0005007	TraesCS1A02G043600.1	TraesCS1B02G056700.1	TraesCS1D02G044200.1
OG0005008	TraesCS1A02G043800.1	TraesCS1B02G057000.1	TraesCS1D02G044500.1
OG0005009	TraesCS1A02G044800.1	TraesCS1B02G058000.1	TraesCS1D02G045400.1
OG0005010	TraesCS1A02G045100.1	TraesCS1B02G058400.1	TraesCS1D02G045800.1
OG0005011	TraesCS1A02G045300.2	TraesCS1B02G058600.2	TraesCS1D02G046000.2
OG0005012	TraesCS1A02G045400.1	TraesCS1B02G058700.1	TraesCS1D02G046100.1
OG0005013	TraesCS1A02G045500.1	TraesCS1B02G058800.1	TraesCS1D02G046200.1
OG0005014	TraesCS1A02G046100.2	TraesCS1B02G059500.2	TraesCS1D02G046700.1
OG0005015	TraesCS1A02G046500.1	TraesCS1B02G060000.1	TraesCS1D02G047400.2
OG0005016	TraesCS1A02G046600.1	TraesCS1B02G060100.1	TraesCS1D02G047600.1
OG0005017	TraesCS1A02G046800.1	TraesCS1B02G060200.1	TraesCS1D02G047800.1
OG0005018	TraesCS1A02G046900.1	TraesCS1B02G060300.1	TraesCS1D02G047700.1
OG0005019	TraesCS1A02G047300.1	TraesCS1B02G061800.1	TraesCS1D02G048300.1
OG0005020	TraesCS1A02G047400.1	TraesCS1B02G061900.1	TraesCS1D02G048500.1
OG0005021	TraesCS1A02G047700.1	TraesCS1B02G062100.1	TraesCS1D02G048800.1
OG0005022	TraesCS1A02G048000.1	TraesCS1B02G062200.1	TraesCS1D02G048900.1
OG0005023	TraesCS1A02G048100.1	TraesCS1B02G062300.1	TraesCS1D02G049000.1
OG0005024	TraesCS1A02G048300.1	TraesCS1B02G062700.1	TraesCS1D02G049600.1
OG0005025	TraesCS1A02G048900.1	TraesCS1B02G064400.1	TraesCS1D02G050100.1
OG0005026	TraesCS1A02G049300.1	TraesCS1B02G065700.1	TraesCS1D02G051300.1
OG0005027	TraesCS1A02G049500.1	TraesCS1B02G057200.1	TraesCS1D02G044800.1
OG0005028	TraesCS1A02G049700.1	TraesCS1B02G065900.2	TraesCS1D02G051900.1
OG0005029	TraesCS1A02G050100.2	TraesCS1B02G066400.1	TraesCS1D02G052200.1
OG0005030	TraesCS1A02G050300.1	TraesCS1B02G066700.1	TraesCS1D02G052600.1
OG0005031	TraesCS1A02G050600.1	TraesCS1B02G067000.1	TraesCS1D02G052800.1
OG0005032	TraesCS1A02G050800.1	TraesCS1B02G067100.1	TraesCS1D02G052900.1
OG0005033	TraesCS1A02G051300.1	TraesCS1B02G068000.1	TraesCS1D02G053300.1
OG0005034	TraesCS1A02G051400.1	TraesCS1B02G068100.1	TraesCS1D02G053400.1
OG0005035	TraesCS1A02G051500.1	TraesCS1B02G068200.1	TraesCS1D02G053500.1
OG0005036	TraesCS1A02G051700.1	TraesCS1B02G068500.2	TraesCS1D02G053700.2
OG0005037	TraesCS1A02G051800.1	TraesCS1B02G068600.1	TraesCS1D02G053800.1
OG0005038	TraesCS1A02G051900.1	TraesCS1B02G068700.1	TraesCS1D02G053900.1
OG0005039	TraesCS1A02G052000.1	TraesCS1B02G069000.1	TraesCS1D02G054000.1
OG0005040	TraesCS1A02G052200.3	TraesCS1B02G069300.2	TraesCS2D02G215400.1
OG0005041	TraesCS1A02G052300.1	TraesCS1B02G069200.1	TraesCS1D02G054100.2
OG0005042	TraesCS1A02G054000.1	TraesCS1B02G071200.1	TraesCS1D02G054900.1
OG0005043	TraesCS1A02G054300.1	TraesCS1B02G071400.1	TraesCS1D02G055100.1
OG0005044	TraesCS1A02G054400.2	TraesCS1B02G071500.1	TraesCS1D02G055200.1
OG0005045	TraesCS1A02G054900.2	TraesCS1B02G071700.1	TraesCS1D02G055600.3
OG0005046	TraesCS1A02G055000.1	TraesCS1B02G071800.1	TraesCS1D02G055700.1
OG0005047	TraesCS1A02G055100.1	TraesCS1B02G071900.1	TraesCS1D02G055800.1
OG0005048	TraesCS1A02G055200.1	TraesCS1B02G072000.1	TraesCS1D02G055900.1
OG0005049	TraesCS1A02G055300.1	TraesCS1B02G072100.1	TraesCS1D02G056000.1
OG0005050	TraesCS1A02G055400.2	TraesCS1B02G072200.1	TraesCS1D02G056100.1
OG0005051	TraesCS1A02G056100.1	TraesCS1B02G073300.4	TraesCS1D02G056800.2
OG0005052	TraesCS1A02G056500.2	TraesCS1B02G073600.1	TraesCS1D02G057200.3
OG0005053	TraesCS1A02G056600.1	TraesCS1B02G073700.1	TraesCS1D02G057300.2
OG0005054	TraesCS1A02G056800.1	TraesCS1B02G074200.1	TraesCS1D02G057500.1
OG0005055	TraesCS1A02G056900.1	TraesCS1B02G074300.1	TraesCS1D02G057600.1
OG0005056	TraesCS1A02G057100.1	TraesCS1B02G074700.1	TraesCS1D02G058100.1
OG0005057	TraesCS1A02G057900.1	TraesCS1B02G075600.1	TraesCS1D02G058700.1
OG0005058	TraesCS1A02G058400.1	TraesCS1B02G076300.1	TraesCS1D02G059200.1
OG0005059	TraesCS1A02G058500.1	TraesCS1B02G075900.1	TraesCS1D02G059600.2
OG0005060	TraesCS1A02G058600.1	TraesCS1B02G076900.1	TraesCS1D02G059700.2
OG0005061	TraesCS1A02G058700.1	TraesCS1B02G077000.1	TraesCS1D02G059800.1
OG0005062	TraesCS1A02G058800.1	TraesCS1B02G077200.1	TraesCS1D02G059900.1
OG0005063	TraesCS1A02G058900.1	TraesCS1B02G077300.2	TraesCS1D02G060000.1
OG0005064	TraesCS1A02G059200.1	TraesCS1B02G077600.1	TraesCS1D02G060600.1
OG0005065	TraesCS1A02G059600.1	TraesCS1B02G077800.1	TraesCS1D02G060800.1
OG0005066	TraesCS1A02G059700.1	TraesCS1B02G077900.1	TraesCS1D02G060900.1
OG0005067	TraesCS1A02G059800.1	TraesCS1B02G078200.1	TraesCS1D02G061000.1
OG0005068	TraesCS1A02G060200.1	TraesCS1B02G078700.1	TraesCS1D02G061200.1
OG0005069	TraesCS1A02G060500.1	TraesCS1B02G078800.1	TraesCS1D02G061400.1
OG0005070	TraesCS1A02G060600.1	TraesCS1B02G078900.1	TraesCS1D02G061500.1
OG0005071	TraesCS1A02G060900.1	TraesCS1B02G079100.2	TraesCS1D02G061800.1
OG0005072	TraesCS1A02G061200.1	TraesCS1B02G079300.1	TraesCS1D02G061900.1
OG0005073	TraesCS1A02G061400.1	TraesCS1B02G079800.1	TraesCS1D02G062200.1
OG0005074	TraesCS1A02G061500.1	TraesCS1B02G079900.1	TraesCS1D02G062300.1
OG0005075	TraesCS1A02G061800.1	TraesCS1B02G080200.1	TraesCS1D02G062500.1
OG0005076	TraesCS1A02G062000.1	TraesCS1B02G080300.1	TraesCS1D02G062900.1
OG0005077	TraesCS1A02G062100.1	TraesCS1B02G080500.1	TraesCS1D02G063000.1
OG0005078	TraesCS1A02G062200.1	TraesCS1B02G080600.1	TraesCS2D02G008400.1
OG0005079	TraesCS1A02G062400.1	TraesCS1B02G080700.1	TraesCS1D02G063400.1
OG0005080	TraesCS1A02G063500.1	TraesCS1B02G081400.1	TraesCS1D02G064000.2
OG0005081	TraesCS1A02G063600.2	TraesCS1B02G081500.2	TraesCS1D02G064100.1
OG0005082	TraesCS1A02G063800.1	TraesCS3B02G508700.1	TraesCS3D02G228300.1
OG0005083	TraesCS1A02G064000.1	TraesCS1B02G081900.1	TraesCS1D02G064500.1
OG0005084	TraesCS1A02G064100.1	TraesCS1B02G082100.1	TraesCS1D02G064700.1
OG0005085	TraesCS1A02G064200.3	TraesCS1B02G082500.1	TraesCS1D02G065000.2
OG0005086	TraesCS1A02G064600.1	TraesCS1B02G082700.1	TraesCS1D02G065200.1
OG0005087	TraesCS1A02G064700.1	TraesCS1B02G082800.1	TraesCS1D02G065400.1
OG0005088	TraesCS1A02G064800.3	TraesCS1B02G083100.1	TraesCS1D02G065600.3
OG0005089	TraesCS1A02G065300.2	TraesCS1B02G083400.1	TraesCS1D02G066000.1
OG0005090	TraesCS1A02G065400.1	TraesCS1B02G083500.1	TraesCS1D02G066100.1
OG0005091	TraesCS1A02G065500.1	TraesCS1B02G083600.1	TraesCS1D02G066200.1
OG0005092	TraesCS1A02G065700.2	TraesCS1B02G083900.5	TraesCS1D02G066700.8
OG0005093	TraesCS1A02G065800.1	TraesCS1B02G084000.1	TraesCS1D02G066800.1
OG0005094	TraesCS1A02G065900.1	TraesCS1B02G084100.1	TraesCS1D02G066900.1
OG0005095	TraesCS1A02G066000.2	TraesCS4B02G080400.2	TraesCS1D02G067000.2
OG0005096	TraesCS1A02G066100.1	TraesCS1B02G084300.1	TraesCS1D02G067100.1
OG0005097	TraesCS1A02G066200.1	TraesCS1B02G084500.1	TraesCS1D02G067200.1
OG0005098	TraesCS1A02G066300.1	TraesCS1B02G084600.1	TraesCS1D02G067400.1
OG0005099	TraesCS1A02G066700.1	TraesCS1B02G085000.1	TraesCS1D02G067700.1
OG0005100	TraesCS1A02G066800.2	TraesCS1B02G085100.1	TraesCS1D02G067800.2
OG0005101	TraesCS1A02G066900.1	TraesCS1B02G085200.1	TraesCS1D02G067900.1
OG0005102	TraesCS1A02G067300.1	TraesCS1B02G085800.1	TraesCS1D02G068300.2
OG0005103	TraesCS1A02G067900.2	TraesCS1B02G086100.2	TraesCS1D02G069300.2
OG0005104	TraesCS1A02G068100.1	TraesCS1B02G086800.1	TraesCS1D02G069500.1
OG0005105	TraesCS1A02G068200.1	TraesCS1B02G086700.1	TraesCS1D02G069600.1
OG0005106	TraesCS1A02G068300.2	TraesCS1B02G086600.2	TraesCS1D02G069700.2
OG0005107	TraesCS1A02G068400.1	TraesCS1B02G086500.1	TraesCS1D02G069800.1
OG0005108	TraesCS1A02G068500.1	TraesCS1B02G086400.1	TraesCS1D02G069900.1
OG0005109	TraesCS1A02G068600.1	TraesCS1B02G086300.1	TraesCS1D02G070000.1
OG0005110	TraesCS1A02G068700.1	TraesCS5B02G041500.1	TraesCS1D02G070100.1
OG0005111	TraesCS1A02G069400.1	TraesCS1B02G087700.1	TraesCS1D02G072000.1
OG0005112	TraesCS1A02G069500.1	TraesCS1B02G087900.1	TraesCS1D02G072100.1
OG0005113	TraesCS1A02G069700.1	TraesCS1B02G088000.1	TraesCS1D02G072300.1
OG0005114	TraesCS1A02G069900.1	TraesCS1B02G088400.1	TraesCS1D02G072500.1
OG0005115	TraesCS1A02G070200.1	TraesCS1B02G088600.1	TraesCS1D02G072700.1
OG0005116	TraesCS1A02G070300.1	TraesCS1B02G088700.1	TraesCS1D02G072800.1
OG0005117	TraesCS1A02G070400.1	TraesCS1B02G088900.2	TraesCS1D02G072900.1
OG0005118	TraesCS1A02G070500.1	TraesCS1B02G089000.1	TraesCS1D02G073000.1
OG0005119	TraesCS1A02G070600.1	TraesCS1B02G089100.1	TraesCS1D02G073100.1
OG0005120	TraesCS1A02G070800.1	TraesCS1B02G089500.1	TraesCS1D02G073200.1
OG0005122	TraesCS1A02G071500.1	TraesCS1B02G089800.1	TraesCS1D02G073900.1
OG0005123	TraesCS1A02G071700.1	TraesCS1B02G090300.1	TraesCS1D02G074300.1
OG0005124	TraesCS1A02G072000.1	TraesCS1B02G090500.1	TraesCS1D02G074500.1
OG0005125	TraesCS1A02G072200.1	TraesCS1B02G090600.1	TraesCS1D02G074600.1
OG0005126	TraesCS1A02G072500.1	TraesCS1B02G091300.1	TraesCS1D02G075400.1
OG0005127	TraesCS1A02G072600.1	TraesCS1B02G091500.1	TraesCS1D02G075500.1
OG0005129	TraesCS1A02G073000.2	TraesCS1B02G092200.1	TraesCS1D02G075900.1
OG0005130	TraesCS1A02G073100.1	TraesCS1B02G092100.1	TraesCS1D02G076000.1
OG0005131	TraesCS1A02G073200.1	TraesCS1B02G092000.1	TraesCS1D02G076100.1
OG0005132	TraesCS1A02G073300.1	TraesCS1B02G091900.1	TraesCS1D02G076200.1
OG0005133	TraesCS1A02G073400.1	TraesCS1B02G091800.1	TraesCS1D02G076300.1
OG0005134	TraesCS1A02G074100.1	TraesCS1B02G092700.1	TraesCS1D02G077000.1
OG0005135	TraesCS1A02G074400.2	TraesCS1B02G093300.1	TraesCS1D02G077300.1
OG0005136	TraesCS1A02G074800.1	TraesCS1B02G093400.1	TraesCS1D02G077400.1
OG0005137	TraesCS1A02G074900.1	TraesCS1B02G093500.1	TraesCS1D02G077500.1
OG0005138	TraesCS1A02G075000.1	TraesCS1B02G093600.1	TraesCS1D02G077600.1
OG0005139	TraesCS1A02G075100.1	TraesCS1B02G093700.1	TraesCS1D02G077700.2
OG0005141	TraesCS1A02G075600.1	TraesCS1B02G094200.1	TraesCS1D02G077900.1
OG0005142	TraesCS1A02G075700.2	TraesCS1B02G094300.1	TraesCS1D02G078000.1
OG0005143	TraesCS1A02G076000.1	TraesCS1B02G094700.1	TraesCS1D02G078400.2
OG0005144	TraesCS1A02G076100.1	TraesCS1B02G094600.1	TraesCS1D02G078500.1
OG0005145	TraesCS1A02G076200.1	TraesCS1B02G094500.1	TraesCS1D02G078600.1
OG0005146	TraesCS1A02G076900.1	TraesCS1B02G095000.1	TraesCS1D02G079100.1
OG0005147	TraesCS1A02G077000.1	TraesCS1B02G095100.1	TraesCS1D02G079200.1
OG0005148	TraesCS1A02G077200.1	TraesCS1B02G095200.2	TraesCS1D02G079300.1
OG0005149	TraesCS1A02G077300.1	TraesCS1B02G095400.1	TraesCS1D02G079500.1
OG0005150	TraesCS1A02G077500.1	TraesCS1B02G095600.1	TraesCS1D02G079600.1
OG0005151	TraesCS1A02G077600.1	TraesCS1B02G095700.1	TraesCS1D02G079700.1
OG0005152	TraesCS1A02G077700.2	TraesCS1B02G095800.1	TraesCS1D02G079800.1
OG0005153	TraesCS1A02G077900.1	TraesCS1B02G096000.1	TraesCS1D02G080000.1
OG0005154	TraesCS1A02G078000.1	TraesCS1B02G096100.1	TraesCS1D02G080100.1
OG0005155	TraesCS1A02G078100.1	TraesCS1B02G096200.1	TraesCS1D02G080300.1
OG0005156	TraesCS1A02G078700.1	TraesCS1B02G096700.1	TraesCS1D02G080700.1
OG0005157	TraesCS1A02G079300.1	TraesCS1B02G097000.1	TraesCS1D02G081000.1
OG0005158	TraesCS1A02G079400.1	TraesCS1B02G096900.1	TraesCS1D02G080900.1
OG0005159	TraesCS1A02G079600.1	TraesCS1B02G097600.1	TraesCS1D02G081300.1
OG0005160	TraesCS1A02G079700.1	TraesCS1B02G097700.1	TraesCS1D02G081400.3
OG0005161	TraesCS1A02G079800.1	TraesCS1B02G097800.1	TraesCS1D02G081500.1
OG0005162	TraesCS1A02G080000.1	TraesCS1B02G098000.1	TraesCS1D02G081700.1
OG0005163	TraesCS1A02G080100.1	TraesCS1B02G098100.1	TraesCS1D02G081800.1
OG0005164	TraesCS1A02G080200.1	TraesCS1B02G098200.1	TraesCS1D02G081900.1
OG0005165	TraesCS1A02G080300.1	TraesCS1B02G098300.2	TraesCS1D02G082000.1
OG0005166	TraesCS1A02G080400.1	TraesCS1B02G098400.1	TraesCS1D02G082100.1
OG0005167	TraesCS1A02G081200.1	TraesCS1B02G098800.1	TraesCS1D02G082800.1
OG0005168	TraesCS1A02G081300.1	TraesCS1B02G099000.1	TraesCS1D02G082900.2
OG0005169	TraesCS1A02G081400.1	TraesCS1B02G099100.1	TraesCS1D02G083000.1
OG0005170	TraesCS1A02G081500.1	TraesCS1B02G099200.1	TraesCS1D02G083100.2
OG0005171	TraesCS1A02G082000.1	TraesCS1B02G099600.1	TraesCS1D02G083600.1
OG0005172	TraesCS1A02G082200.1	TraesCS1B02G099800.1	TraesCS1D02G083700.1
OG0005173	TraesCS1A02G082300.1	TraesCS1B02G099900.1	TraesCS1D02G083800.1
OG0005174	TraesCS1A02G082500.1	TraesCS1B02G100100.1	TraesCS1D02G083900.1
OG0005175	TraesCS1A02G082600.1	TraesCS1B02G100200.1	TraesCS1D02G084000.1
OG0005176	TraesCS1A02G082700.2	TraesCS1B02G100300.1	TraesCS1D02G084100.1
OG0005177	TraesCS1A02G083000.1	TraesCS1B02G100400.2	TraesCS1D02G084200.1
OG0005178	TraesCS1A02G083100.2	TraesCS1B02G100600.1	TraesCS1D02G084400.1
OG0005179	TraesCS1A02G083300.1	TraesCS1B02G100700.1	TraesCS1D02G084500.1
OG0005180	TraesCS1A02G083400.1	TraesCS1B02G100800.1	TraesCS1D02G084600.1
OG0005181	TraesCS1A02G083500.1	TraesCS1B02G101000.3	TraesCS1D02G084700.3
OG0005182	TraesCS1A02G083800.1	TraesCS1B02G101100.1	TraesCS1D02G084900.1
OG0005183	TraesCS1A02G084000.1	TraesCS1B02G101500.1	TraesCS1D02G085200.1
OG0005184	TraesCS1A02G084100.1	TraesCS1B02G101600.1	TraesCS1D02G085300.1
