OG0008775	FCP1
OG0009738	OsLG1
OG0009464	RFL
OG0006500	OsHAPL1
OG0009150	OsYSL9
OG0006501	PSL1
OG0020261	MKRN
OG0009192	XIAO
OG0009151	OsYSL9
OG0009467	OsNPF7.4,OsPTR6
OG0006818	OsHSF6
OG0006270	WSL8
OG0017900	OsPrx30
OG0009427	OsMT
OG0009112	OsINV2
OG0009113	OsYABBY5
OG0002272	OsOSCA1.2
OG0017984	OseIF3f
OG0006232	PMR
OG0002232	OsCA1
OG0024225	OsRS33
OG0017670	RIM1
OG0006589	OsPARP3
OG0002589	OsDRE2
OG0002507	OsGAP
OG0020267	OsMFT1
OG0009198	DEAP1
OG0009157	OsWRKY36
OG0006549	OsSPL
OG0002234	OMTN4
OG0024268	CPT1
OG0017672	OsMADS51
OG0017631	OsMRP5
OG0014790	OsWHY1
OG0009158	OsOFP19
OG0006235	OsNAC52
OG0002235	Ltp1
OG0014750	OsYAF9
OG0006277	OsAT1
OG0017948	OsACTPK1
OG0010792	OsNTL3
OG0017909	OsNAC3
OG0014794	OsMKK1
OG0017322	TSV3
OG0017364	SQS
OG0014715	OsFWL6
OG0014716	OsFWL6
OG0017010	OsbHLH148
OG0014402	OsCPK9
OG0010717	PHS9
OG0010443	OsWRKY10
OG0010402	OsIDD2
OG0025881	OsSUT2
OG0014444	OsXYN1
OG0021800	PSY1
OG0010404	OsNPR1
OG0022960	OsCel9A
OG0021883	OsHKT1;4
OG0014487	OsPht1;11
OG0014446	OsGRP3,Osgr-rbp4
OG0010405	OsPHR2
OG0003850	RAI1
OG0025843	alphaAmy3
OG0022961	OsJAR2
OG0017096	OsWRKY4
OG0014406	OsNPF2.4
OG0007810	OsMADS18
OG0025803	OsChz1
OG0021570	APO1
OG0017015	OsIAA13
OG0014407	FLO6
OG0014133	SAPK10
OG0010489	OsCDR1
OG0007811	OsB12D1
OG0025805	OsBBS1
OG0014135	OsMSR15
OG0007895	OsBZR1
OG0007854	OsWRKY88
OG0025806	OsHAK8
OG0025532	OsCDR1
OG0007896	OsGGPPS1
OG0007581	OsCHLH
OG0003581	OsRNS1
OG0025533	OsCOM1
OG0014178	OsSEC3A
OG0007500	NIGT1
OG0022611	SRL1
OG0021808	BRD2
OG0007898	OIP30
OG0007857	
OG0022694	cZOGT3
OG0018980	OsBLR1
OG0007502	OsCW-ZF7
OG0000935	OsJAZ13
OG0007818	GE
OG0021537	OsMPH1
OG0007819	OsMESL
OG0021538	OsMPH1
OG0021264	OsbZIP50
OG0007505	FZP
OG0022657	HSA1a
OG0022383	OsEMF2a
OG0007506	OsObgC1
OG0003273	OsSPX3
OG0018985	OsMDHAR4
OG0000666	XYH
OG0022659	OsOxi1
OG0000667	ZFP182
OG0022386	OsTIF1
OG0022304	OsHI-XIP,OsXIP,riceXIP
OG0018631	OsPSKR1
OG0015790	OsSIZ2
OG0019750	HGW
OG0000395	EXPLA1
OG0018633	ARF8
OG0011710	OsULT1
OG0000396	ONAC022
OG0000629	OsRP1
OG0018634	CNGC
OG0015711	ONAC045
OG0000397	OSINV3
OG0000041	NBS8R
OG0019794	OsGAMYBL2
OG0019753	OsSSI
OG0015712	ONAC122,ONAC131
OG0000398	OsNPF7.2
OG0000083	OsPRP1
OG0000042	OsA3,OSA7
OG0000001	OsPH9
OG0019795	OsBLE3
OG0000399	AmyI-1
OG0019440	HDR1
OG0018678	OsNST1
OG0011715	ALT1
OG0011441	OsHXK6
OG0011400	OsRopGEF6
OG0000004	DEPG1
OG0018365	beta-OsLCY
OG0000046	OsACT1
OG0018051	OsSPY
OG0011758	OsGH3.1
OG0011443	IAA6
OG0011402	ALS3
OG0018052	RGG2
OG0015718	OsSCR,OsSCR1
OG0015485	OsMYB46
OG0011485	SnRK1A
OG0015445	SDEL1
OG0015171	PME42
OG0015172	OsGrx_C7
OG0008850	OsMST1
OG0000009	OsNRT2.1
OG0019488	OsMGD
OG0019447	OsPi304
OG0015447	BC1
OG0018015	OsSNDP3
OG0015174	WAL3
OG0018057	OsPHR3
OG0018016	OsEREBP1
OG0015175	OsGrx_C7
OG0008813	OsCFM2
OG0019136	OsEXTL
OG0015136	PDD
OG0026533	OsACO7
OG0019178	OsSK1
OG0011178	SDG705
OG0008856	HN1L
OG0005933	OsDRP1E
OG0004500	OsATG5
OG0026534	OsRLCK57
OG0015179	OsPPO1
OG0011138	OsPIN3t
OG0004898	OsCYP20-2
OG0001975	Adk-a,Adk-b
OG0023612	OsLEA4
OG0011139	SGD2
OG0008818	BAD1
OG0008545	OsBIC2
OG0008230	OsSYT-5
OG0005622	OsTIP3;1
OG0001663	OsRH2,OsRH34
OG0026264	ALDH2a
OG0023383	JAmyb
OG0001665	ENL1
OG0001391	OsCBL8
OG0023617	OsLEA4
OG0001392	OsMADS2,OsMADS4
OG0026226	HEI10
OG0023385	OsXTR1
OG0023303	WSL4
OG0005311	OsVIL4
OG0004234	OsMTN
OG0001352	FLO11,OsHsp70CP1
OG0001394	OsGUX1
OG0016750	OsWNK9
OG0005313	OsSUN1
OG0001080	Pit
OG0023347	ARE2
OG0023306	OsDMAS1
OG0016751	OsLon1
OG0012751	OsNRAMP5
OG0005396	OsHXK7
OG0001396	DNG701
OG0023074	Os6
OG0005397	GSE5,GW5L
OG0004279	OsOSM1
OG0001315	OsHAK12
OG0013831	OsUBL5
OG0016714	OsUGE3
OG0012714	OsSAC1
OG0012440	OsLCB2a1
OG0001359	OSHB1
OG0016797	OsMED4
OG0016400	OsTFX1
OG0012400	LC4
OG0016401	DUA1
OG0013875	OsCYP51G1
OG0005005	FOS1
OG0001046	cZOGT3
OG0016799	OsFD1
OG0016758	OsTFIIB
OG0012799	BG1
OG0001047	OsAOX1b
OG0016170	OsrbohB
OG0012759	OsBIERF4
OG0016130	osRAD23
OG0012130	OsdNK2
OG0012131	OsMYB22
OG0020920	NF-YC12
OG0013565	OsLEA3-2
OG0013291	OASA2
OG0024921	FON1
OG0016449	OsaTRZ2
OG0002971	OsAO4
OG0013568	OsEIL1
OG0009854	OsMRE11
OG0020691	OsTOP1
OG0016177	OsJAZ8
OG0013295	PLS2
OG0013213	OsACR9
OG0016137	STR1
OG0012137	OsCADT1
OG0009815	ILI1
OG0024927	OsCKX11
OG0009584	
OG0024380	Cga1
OG0009859	OsBIDK1
OG0009544	OsD-LDH2
OG0006662	SLG
OG0020655	SRWD4
OG0009271	cZOGT1,cZOGT2
OG0002663	OsCDR1
OG0020697	OsFDML1
OG0002664	OsCDR1
OG0020616	OsSMAX1
OG0009273	OsHMA5
OG0020343	OsXylT
OG0020618	OsAPS2
OG0002311	Du1
OG0020619	OsGPT
OG0006312	Fd
OG0002627	OsRAV2
OG0024305	OsPRP3
OG0020031	WIN1
OG0009236	OsHMGB707
OG0002354	EUI1
OG0002080	OsFPN1
OG0024074	Ltp1
OG0020348	OsDOG
OG0020033	OsSK2
OG0017793	OsHLS1
OG0017752	OsFTL10
OG0014870	CRL1
OG0020308	OsAkaGal
OG0020035	OGR1
OG0006399	OsFAMA
OG0006084	OsANN4
OG0002317	OsEXPA30
OG0017714	Lsi2
OG0017481	OsEXPA7
OG0002044	OsSAUR45
OG0024078	SDRP
OG0017482	OsGRAS23
OG0014833	LPL2
OG0017442	OsALKBH1
OG0014875	OsAP23
OG0014560	OsMYB4P
OG0002087	qLTG3-1
OG0014835	RCN4
OG0002047	OsLDC-like1
OG0017759	OsBIRH1
OG0017130	SP3
OG0014878	Se14
OG0010838	OsSUN2
OG0014291	PHYA
OG0014251	OsNPPR3
OG0014210	OsGH9A3
OG0021922	LIL1
OG0017449	OsAPL1
OG0014294	OsICE1
OG0014212	OsRAM2
OG0007972	OsFOR1
OG0017136	OsKANADI4
OG0025925	MEL2
OG0010255	ONAC020,ONAC026
OG0010297	OsSPL1
OG0025612	LFS
OG0021612	OsPIN2
OG0017139	OsAOS1
OG0014257	OSH1
OG0007935	ZFP245
OG0003620	ACL1,ACL2
OG0025695	VLN2
OG0025613	OsGDPD2
OG0007977	SYMRK
OG0021696	GPA5
OG0014218	OsSRFP1
OG0010259	OsCOIN
OG0000740	LP2
OG0025300	RCN4
OG0021656	spPLD
OG0003664	Os4BGlu14
OG0000700	RC24
OG0025616	Rpp17
OG0021657	OsglHAT1
OG0021383	Du13
OG0007665	CHR721
OG0003391	EL2
OG0021343	LIC
OG0022736	OsDOG1L-3
OG0021618	OsHGGT
OG0007667	OsLti6a
OG0003393	OsCBL1
OG0000703	HSP70
OG0021304	OsSYF2
OG0000786	OsMST3
OG0000745	OsERS1
OG0025031	rgp2
OG0022464	OsiWAK1
OG0022190	
OG0021346	OsDGL1
OG0007395	FLO18
OG0022739	OSINV1
OG0022150	EBR1
OG0021347	OsPHR4
OG0003040	cdc2Os-1
OG0022192	OsHFP
OG0022151	OsTBP2.2
OG0021307	OsSLC1
OG0018711	OsLMS
OG0015830	OsEIN2
OG0000708	TGW6
OG0018480	OsUBP15
OG0003399	OsEm
OG0000435	OsPi304
OG0021078	OsGATA16
OG0019833	Vsl1
OG0011833	OsMYBGA
OG0018442	OsPLL3
OG0015834	BC12
OG0018443	TMS5
OG0011876	OsWRKY22
OG0011561	AMD1
OG0003088	Os4CL3
OG0000439	CHS
OG0000124	Adh1
OG0018485	FUWA
OG0018444	OsAOS3,OsAOS4
OG0018403	CYP734A2
OG0015521	DEC
OG0018719	SIT1
OG0011878	OsWRKY108
OG0019879	ONAC020,ONAC026
OG0018131	Ehd2
OG0015290	SLG1
OG0011879	OsWRKY21
OG0019565	OsNDUFA9
OG0019524	BLS1
OG0018488	GRY79
OG0019525	OsBP-73
OG0019251	OsRING-1
OG0011566	GA2OX3
OG0011210	OsMPK7
OG0019293	MTP8.2
OG0011567	OsKAT1
OG0019212	OsTPR
OG0015568	OsDjA7
OG0015527	OsGGP
OG0004972	RMtATP6
OG0011528	OsRZFP34
OG0015296	SAPK9
OG0004933	MEG2
OG0023771	RIP1
OG0015299	ZFP252
OG0015217	OsUEV1B
OG0008662	OsRR1
OG0005781	OsBSK2
OG0004663	OPR8,OsOPR1
OG0023774	OsWRI1a
OG0019219	OsMMP1
OG0008664	OsBEIIb
OG0001701	OsbHLH035
OG0023735	OsPIP2;4
OG0008625	OsRecQl4
OG0005743	OsMPK6
OG0008394	OsACOS12
OG0008312	OsPSKR15
OG0005786	PFKB1
OG0004394	OsiSAP7
OG0001745	OsSAG12-2
OG0001430	OsMDH1,OsMDH8.1
OG0004313	qRT9
OG0023465	OsNF-YA4
OG0026033	OsMSI1
OG0005789	OsPYL1
OG0005474	OsCCR4a,OsCCR4b
OG0001789	OsHUB2
OG0001748	OsLpa1
OG0001474	OsAIP1
OG0012830	OsSUT1
OG0005434	OsSWEET3a
OG0005160	OsPti1a
OG0026035	OsVPS2
OG0008358	D6
OG0016832	OsRacGEF2
OG0008359	Crl5
OG0008003	CUR1
OG0004318	FLO22
OG0013992	OsNDPK1
OG0012874	OsBGal1
OG0012833	OsRLCK102
OG0008319	OsMADS15
OG0004319	OsLSR
OG0004004	OsCLP
OG0001437	SPL28
OG0012875	OsBLH6
OG0005123	OsCRTISO
OG0016876	OsPSY
OG0005124	OsECS,OsSG1
OG0004088	OgPAE1
OG0016836	OsSAUR45
OG0008007	OsHSFA3
OG0004048	OsRAF
OG0013914	OsHLP1
OG0013997	OsPDIL1;1
OG0013682	OsGF14d
OG0005127	LIP19
OG0016292	GS9
OG0012292	JMJ705
OG0012210	Osspr1
OG0016526	SKIN1
OG0016294	PTC1
OG0013645	OsPHGPX
OG0016569	PAIR2
OG0012295	PLA2
OG0012213	Os1BGlu4
OG0016215	OsGL1-1
OG0013649	OsCPL3
OG0012298	CTMyb1
OG0024772	OsIQD14
OG0016299	PDIL2;3
OG0016258	OsPPR1
OG0016218	OsSAP
OG0013336	OsSDIR1
OG0020734	OsUCL23
OG0009350	OsZIP3
OG0006701	SnRK1A
OG0020776	RPS14
OG0020461	qGW8
OG0020420	SKIN2
OG0024421	ARAG1
OG0020462	OsMADS7
OG0009667	RLI1
OG0009352	FC1
OG0006745	OsABIL3
OG0006704	OsS40-14
OG0006471	OsFRDL2
OG0024423	OsIspF
OG0013068	MODD
OG0009354	OsHyPRP16
OG0006787	OsPDCD5
OG0009396	OsSTLK
OG0009040	OsGBSSII
OG0006432	Osh36
OG0020466	Os8N3
OG0020152	OsbZIP47
OG0009083	LABA1
OG0006708	HAN1
OG0009358	OsKS1
OG0009002	SHO1
OG0006120	R2
OG0017832	OsBBS1
OG0014991	OHP1
OG0002436	OsNHA1
OG0006437	OsLecRK-S.7
OG0002122	OsRPT4
OG0020156	OsGSR1
OG0010952	OsPDF1A
OG0010911	OsCAF1
OG0006479	OsbZIP42
OG0006438	OsPUB2
OG0020198	OsNIP1;1
OG0017877	OsBip1
OG0006166	OsMYB36a
OG0002125	WSL1
OG0017522	OsCDPK1
OG0010955	WSL
OG0002126	OsPNH1
OG0017564	OsDEF8
OG0014997	OsHAM4
OG0014915	CYCLOPS
OG0014641	OsHSD2
OG0010601	OsFTL1
OG0002128	HDA710,OsHDAC1
OG0014999	OsPCBP
OG0014958	KAO
OG0014917	OsGRF5
OG0014602	OsSUT5
OG0010958	OsbHLH024
OG0002129	OsBGal2
OG0017567	OsMT-II-1a
OG0017293	OsHsfA2e
OG0014918	OsSNAP32
OG0010685	OsCEP6.1
OG0010603	OsSDG721
OG0017254	
OG0014646	DVB1
OG0010372	OsBRCA2
OG0017255	OsiSAP7
OG0014332	
OG0017256	OsiSAP7
OG0017215	OsPIL13
OG0014689	OsHAD1
OG0010648	OFP1
OG0010607	ZYGO1
OG0010333	OsRA2
OG0021771	OsRPT4
OG0014334	OsUCL8
OG0010649	NYC1
OG0021772	OsBLE1
OG0010020	OsBiP4,OsBiP5
OG0007780	qSOR1
OG0025732	RMtATP6
OG0021732	OsRLCK57
OG0014062	SP1
OG0021776	RC24
OG0021777	BEI
OG0021421	OsLRR-RLK1
OG0014025	OsSWI3C
OG0007703	OsbHLH1
OG0021778	BEI
OG0007430	CYP714B1
OG0021464	OsARF18
OG0007787	PSD
OG0007472	OsFLN2
OG0003472	OsABCC1
OG0025465	RSP1
OG0021191	OsPMT16
OG0021150	OsDR8
OG0000550	OsPUP7
OG0025466	OsERdj7
OG0007474	OsUsp1
OG0003433	OsERF83
OG0025152	WSL6
OG0007708	OsFLP
OG0003160	OsPrx30
OG0000867	DAD-1
OG0018831	OsGGPPS2
OG0015990	OsSIPP2C1
OG0007476	OsUsp1
OG0003476	qTGW3
OG0000553	PAIR3
OG0025469	WFSL1
OG0025428	GIC
OG0022546	OsMSH4
OG0007477	OsUsp1
OG0007121	NRR
OG0022506	OsNHX1
OG0021114	OsAt10
OG0019951	ORF1
OG0007437	OsWRKY47
OG0007122	OsNDPK3
OG0000281	NPP1
OG0000514	OsPTR9
OG0025197	PCF1
OG0022507	SodCc7
OG0022274	akin-b
OG0019952	LYP6
OG0007164	OsWRKY72
OG0000241	OsSAMS1
OG0000557	OsCCC1
OG0019995	OsMCM2
OG0019954	ORF5
OG0018836	OsDhn1
OG0011954	OsABCG3
OG0021118	sped1-D
OG0019914	BSR-D1
OG0018837	OsDHHC30
OG0015955	OsRRM
OG0015681	TSCD11
OG0022237	OsCc1
OG0019915	OsARF16
OG0018523	OsNAPL6
OG0018290	OsHMA4
OG0015956	OsPHL3
OG0011997	OsPP2C09
OG0011641	OsGL2
OG0000519	OsCDC48,OsCDC48E,OsSTL2
OG0019601	DH1
OG0018524	DCW11
OG0015957	OsROC1
OG0015601	UTR319
OG0019643	RPL1
OG0011917	OsYSL18
OG0000247	COMT
OG0018212	LEPTO1
OG0015645	OsPK1
OG0011645	OsCIPK30
OG0018569	CNGC
OG0000209	OsMYB30
OG0019606	PTC2
OG0015647	OsIPMS1,OsIPMS2
OG0019607	ETR3
OG0015648	OsCPD1,OsCPD2
OG0011689	OsDERF1
OG0015649	OsRR9
OG0011608	ST2
OG0019061	DTH2
OG0018218	OsWRKY71
OG0018219	OsTH1
OG0008700	OsGAD2
OG0011379	BG3
OG0011338	OsXPB2
OG0005860	OsMT-II-1a
OG0026420	OSIAGP
OG0019339	OsbZIP23
OG0005861	OsDSK2a,RIF2
OG0004470	DPW3
OG0026422	OsNTL5
OG0023814	OsMSH6
OG0011067	OsATG7
OG0008746	Cyclin-T1;3
OG0001864	CDKB1;1
OG0001590	OsABCB14
OG0026465	OsEREBP1
OG0023501	OsCYP-25
OG0008788	OsMYB80
OG0008747	OsWS1
OG0008432	OsPLS4
OG0004432	OsC1
OG0026425	OsGT14;1
OG0026192	OsC6
OG0015029	PAY1
OG0008707	OsAP37
OG0005866	RPP31
OG0005551	SD38
OG0026152	RAG2
OG0023270	OsTTLL12
OG0008434	EIF3H
OG0004749	OsPrx30
OG0001867	OsSHOC1
OG0026468	OsPRA2
OG0016990	RGG1
OG0012990	NAL21
OG0001868	OsCPK24
OG0023587	OsIRT2
OG0012991	OsTPR075
OG0008162	OsCBT
OG0004477	Os11N3
OG0023547	OsFWL6
OG0023273	OsFBK12
OG0012910	OsNBL3
OG0005829	OsNPF7.7
OG0005596	OsPKS1
OG0005281	MEG1
OG0004478	Os11N3
OG0004437	CYP96B5
OG0012952	OsINO1-1
OG0004438	prog1
OG0001597	OsPCNA
OG0005557	OsRNS4
OG0004165	OsTrxh2
OG0001598	OsAMT1;1,OsAMT1;2
OG0016996	OsIAA11
OG0012681	OsPME1
OG0005518	OsWSL3
OG0001518	OsGZF1
OG0001244	OsTPS19,OsTPS20
OG0016915	SIP1
OG0012601	OsCLT1
OG0008128	OsCDPK2
OG0004128	OsLOX1
OG0016999	GORI
OG0012643	YGL8
OG0005206	OsPPKL2
OG0012685	OsRLCK57
OG0005289	DARX1
OG0016604	OsFY
OG0016330	OsEATB
OG0005249	ERS2
OG0016372	OsZHD1,OsZHD2
OG0013490	OsHIRP1
OG0001209	FLO15
OG0013450	OsETOL1
OG0016689	OsGEN-L
OG0013411	OsAPX1
OG0012375	OsMOGS
OG0013412	OsMSRMK2
OG0012020	WLP2
OG0020892	OsUbDKgamma4
OG0013729	OsIMP
OG0016379	OsGSTU17
OG0016338	SG1
OG0013100	OsWAK25
OG0024812	CYP734A4
OG0009702	OsCNX1
OG0024813	OsGABA-T
OG0020813	FSE1
OG0013499	OsASL1
OG0013184	OsGBP3
OG0006821	OsIPT7
OG0020540	APX9
OG0016067	ICS1
OG0013185	LPA1
OG0012026	OsOPL1
OG0020856	OsRZ1
OG0013186	OsAPC6
OG0012027	OsSBPase
OG0009472	LMM5.1
OG0009431	MPR25
OG0024898	OsSPL10
OG0024857	OsRRK1
OG0020583	SLC1
OG0020502	OsFKBP16-3
OG0009748	OsSUT5
OG0002825	RAB21
OG0002510	OsSYP131a
OG0024818	OsEREBP1
OG0024544	ONI2
OG0020859	OsNRAMP1
OG0013107	OsRR21
OG0002511	OsD-LDH
OG0024819	OsSOS2
OG0024586	ZN
OG0020504	OsCPK21
OG0006868	LTN1
OG0024587	OsDjA9
OG0009436	OsRMT1
OG0020588	OsPGR5
OG0009163	OsERF83
OG0002829	NOL
OG0020233	OsIBR5
OG0017993	OsSARD1
OG0009164	OsEXPA10
OG0006597	OsATM
OG0006200	OsbZIP39
OG0002515	mtRPL27a,S27
OG0002200	OsSPDS1
OG0020508	CPD
OG0006517	OsZFP350
OG0002203	OsBISCPL1
OG0017641	OsHB22
OG0017600	OsPht1;7
OG0017684	OsDREB1F
OG0010761	OsZFP
OG0017644	KNAT7
OG0017687	OsPEX11-1
OG0002209	CYP93G2
OG0010765	alpha1a
OG0010491	OsIAA1
OG0017648	OsMADS56
OG0014451	RGB1
OG0017649	OsF3H03g
OG0014768	OsHOX28
OG0014453	OsIRT1
OG0010412	OsDof1
OG0025891	OsRab5a
OG0025850	DDF1
OG0014769	OsHOX28
OG0014495	OsMDHAR
OG0014454	NH3
OG0010413	OS-ACS5
OG0017063	PF1
OG0014414	OsMGT3
OG0017023	qCdT7
OG0014497	OHP2
OG0010497	OsPDR6
OG0010415	OsMYB1R1
OG0017339	OsAAA-ATPase1
OG0010498	d18
OG0010416	OsDOS
OG0007820	GW7
OG0025580	PRPL12
OG0014458	OsSWAP70A
OG0014417	OsFdC2
OG0017067	OPT
OG0014459	CRL4
OG0010418	SNAC3
OG0017068	PHYC
OG0010145	OsCML16
OG0007864	OsZFP7
OG0017069	OsSPO11-1
OG0010146	OsCUL1-3
OG0007865	OsGH3.8
OG0000901	OsRIP1
OG0025899	OsNCED5
OG0007825	OsRPK1
OG0007592	OsTPS19,OsTPS20
OG0000902	ZFP15
OG0022936	OsWRKY102
OG0021544	OsFtsH2
OG0000670	RAI1
OG0000903	OsPDR1
OG0018990	OsDOF11
OG0000986	WDA1
OG0022623	PAKRP1
OG0003513	SLP1
OG0000987	OsDim1
OG0000905	Orys1
OG0025273	OsGASR9
OG0000906	OsWAK14
OG0003556	OsWRKY47
OG0003515	RIXI
OG0000674	LTP2
OG0022311	OSIPP3
OG0021508	BPH29
OG0018953	OsPUT1
OG0003598	CRK6
OG0007243	MRG701,MRG702
OG0003599	CRK10
OG0003284	OsGDH2
OG0000361	CYP716A16
OG0018914	OsNPF7.9
OG0018640	OsCRY2
OG0007518	OsCOL13
OG0007244	CYP93G1
OG0000362	OsRad6
OG0018956	OsBRXL1
OG0003204	PRP5
OG0000322	OsPrx30
OG0022041	PTB1
OG0021238	OsCLR1
OG0018957	GS2
OG0007246	SOR1
OG0000638	OsENOD93-1
OG0000050	JIOsPR10
OG0022399	Sc
OG0007289	OsCTR1
OG0022085	DHAR1
OG0019722	D3
OG0018330	ZFP185
OG0015763	DTC1
OG0003249	OsUPS1
OG0000052	OsOXO2,OsOXO3,OsOXO4
OG0007209	PHD1
OG0003209	OsHT
OG0000094	Pi36
OG0019724	OsMPK1
OG0015450	TCM12
OG0018608	OsSWEET4
OG0015411	OsCD1
OG0011726	OsEXO1
OG0011493	OsS40-7
OG0011411	OsDof4
OG0019727	OsV5B
OG0018609	OsCOL4
OG0018335	OsLOX5
OG0011769	OSTF1
OG0000017	OsPAL2;3,OsPAL6,PAL
OG0019496	OsBADH2
OG0011496	CFO1
OG0000059	OsCDC48,OsCDC48E,OsSTL2
OG0018023	OsMPK13
OG0011415	WLP1
OG0023972	OsADF2
OG0019143	OsDHODH1
OG0018066	OsSPL3
OG0011458	OsERA1
OG0011102	OsDfr
OG0005980	OsDREB2B
OG0019185	BU1,PGL2
OG0015459	OsSYP131b
OG0015144	CSP41b
OG0023933	TCD9
OG0019104	OsMADS57
OG0008823	OsVIT1
OG0008590	OsFBN5
OG0001982	SDG724
OG0011187	OsUBC5a
OG0011146	OsYUCCA1
OG0008865	OsEPF2
OG0005983	LBD12-1
OG0015147	OsPID
OG0011188	DSH5
OG0011147	Ossbf1
OG0008866	IIP4
OG0008592	OsOASTL-A1
OG0005902	OsProDH
OG0019189	OsCUL3a
OG0008553	GIF1
OG0001986	OsSIRK1
OG0008280	OsPIL14
OG0001631	RGAe,Xa1
OG0023350	OsRBR2
OG0008240	WP1
OG0001989	EP
OG0008557	OsOTLD1
OG0008201	OsRZ2
OG0001360	OsABCG26,OsABCG9
OG0004517	OsSL
OG0023395	CYP94C2b
OG0023313	LAR
OG0004518	OsSGL
OG0001321	OsGPI8
OG0023040	OsWRKY23
OG0008286	G1
OG0008245	OsCPK17
OG0008287	OsSWAP70B
OG0005364	OsBOR4
OG0005090	APIP12
OG0001323	OsImpbeta1
OG0012761	OsEBP-89
OG0023358	LGG
OG0005325	OsZIP6
OG0005092	OsSIZ1
OG0005011	OsMKP1
OG0016723	TAC1
OG0013841	OsHO2
OG0013800	OsProT,OsProT3
OG0005368	OsCDT3
OG0004209	VAL1
OG0001094	OsACP1
OG0001327	OZT1
OG0001369	OsCSLD1
OG0001328	OSH71
OG0016410	OsDof25
OG0005096	GluA,GluB-1
OG0023089	OscTPI
OG0016452	NY2,OseIF3e
OG0023049	XB24
OG0013845	RIP1
OG0005058	RSR1
OG0013573	WOX6
OG0001059	RF6
OG0001018	OsRLCK253
OG0016182	DRO1
OG0013533	OsNIN1
OG0013849	OsPIN1c,OsPIN1d
OG0013534	Osmyb2
OG0013260	OsHrd3
OG0016184	OsALDH7
OG0013809	OsFER2
OG0012102	OsABF1
OG0013577	Osr40c1
OG0006981	OsPP2C51
OG0016145	OsCIA
OG0013578	OsNAP
OG0006900	OsDi19-1
OG0020934	NYC3
OG0020660	OsTPL
OG0016146	qCTS-9
OG0013579	OsSPK1
OG0002942	OsMKK3
OG0012106	OsPTB1
OG0009866	OsMSD
OG0009825	OsSK3
OG0002902	OsPi304
OG0016148	REP1
OG0006670	OsHXK5
OG0020663	BRHIS1
OG0020622	Gm8
OG0016149	
OG0012108	OsEREBP2
OG0006630	SBI
OG0020938	OsGLK1
OG0020664	OsSIG1
OG0020391	OsERF115
OG0002947	OsCBM1
OG0020392	OsERF115
OG0006907	OsXTH8
OG0002989	ONAC063
OG0020626	OsMST5
OG0006908	OsETTIN1
OG0006360	OsLAC13
OG0024627	OsCDT1
OG0006676	OsIAA18
OG0002361	OsSPL
OG0002320	OsNRT1.3
OG0020669	CslF6
OG0009203	HTH1
OG0006636	OsVOZ2
OG0024040	OsDEF8
OG0020040	DSH1
OG0009204	OsSPX-MFS1
OG0024000	OsRTH3
OG0020397	OsISA1
OG0006364	OsLAC
OG0002679	OsHrd1
OG0024042	chi11
OG0006324	OsAUX3
OG0024084	OsA8
OG0017721	PAIR1
OG0014880	Wx
